		(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	LABELS	altruism	social_norm	self_interest_maximizing	risk_aversion	stereotype	trust	strategic_thinking
								
male	male	0.118	0.382***	-0.0464	-0.0500	2.189***	-0.246***	0.0857
		(0.136)	(0.0920)	(0.122)	(0.0761)	(0.104)	(0.0757)	(0.0891)
female	female	1.064***	0.482***	-0.850***	0.339***	2.086***	0.0429	-0.336***
		(0.136)	(0.0920)	(0.122)	(0.0761)	(0.104)	(0.0757)	(0.0891)
Constant	Constant	3.457***	4.693***	5.257***	3.943***	2.107***	4.996***	5.818***
		(0.0961)	(0.0650)	(0.0861)	(0.0538)	(0.0733)	(0.0536)	(0.0630)
								
Observations		840	840	840	840	840	840	840
R-squared		0.081	0.035	0.069	0.036	0.404	0.020	0.029
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
